💝 梦想MITV,#genre#
龙祥电影,mitv://generationnexxxt.com:19806/78502c9b515845a7baca6a3a6ea88b8a 
龙祥电影,mitv://135.148.104.228:19806/78502c9b515845a7baca6a3a6ea88b8a 
龙祥电影,mitv://135.148.104.228:19806/78502c9b515845a7baca6a3a6ea88b8a 
HBO,mitv://generationnexxxt.com:19806/37f11d742fee447ab15f07db28095bd6 
HBO,mitv://135.148.104.228:19806/37f11d742fee447ab15f07db28095bd6 
HBO,mitv://135.148.104.228:19806/37f11d742fee447ab15f07db28095bd6 
东森洋片台,mitv://generationnexxxt.com:19806/5e8420f5477344b9b7b39d9e96162ce1 
东森洋片台,mitv://135.148.104.228:19806/5e8420f5477344b9b7b39d9e96162ce1 
东森洋片台,mitv://135.148.104.228:19806/5e8420f5477344b9b7b39d9e96162ce1 
AXN,mitv://generationnexxxt.com:19806/893f7dec641a42458f47ccfbd93525ba 
AXN,mitv://135.148.104.228:19806/893f7dec641a42458f47ccfbd93525ba 
AXN,mitv://135.148.104.228:19806/893f7dec641a42458f47ccfbd93525ba 
好莱坞电影台,mitv://generationnexxxt.com:19806/9862f4958472458ca2ebc718bb92a5c6 
好莱坞电影台,mitv://135.148.104.228:19806/9862f4958472458ca2ebc718bb92a5c6 
好莱坞电影台,mitv://135.148.104.228:19806/9862f4958472458ca2ebc718bb92a5c6 
纬来育乐台,mitv://generationnexxxt.com:19806/78b57c4d9e644fafafe01588c43b4787 
纬来育乐台,mitv://135.148.104.228:19806/78b57c4d9e644fafafe01588c43b4787 
纬来育乐台,mitv://135.148.104.228:19806/78b57c4d9e644fafafe01588c43b4787 
HBO强档巨献,mitv://generationnexxxt.com:19806/563a5981b8ad4df085b59ce98bbecb95 
HBO强档巨献,mitv://135.148.104.228:19806/563a5981b8ad4df085b59ce98bbecb95 
HBO强档巨献,mitv://135.148.104.228:19806/563a5981b8ad4df085b59ce98bbecb95 
HBO原创巨献,mitv://generationnexxxt.com:19806/bd0a33ff8b6f4fe9ba7791ad73c6c16e 
HBO原创巨献,mitv://135.148.104.228:19806/bd0a33ff8b6f4fe9ba7791ad73c6c16e 
HBO原创巨献,mitv://135.148.104.228:19806/bd0a33ff8b6f4fe9ba7791ad73c6c16e 
美亚电影台HD,mitv://generationnexxxt.com:19806/a850e570b868424c94319a2652ca7c62 
美亚电影台HD,mitv://135.148.104.228:19806/a850e570b868424c94319a2652ca7c62 
美亚电影台HD,mitv://135.148.104.228:19806/a850e570b868424c94319a2652ca7c62 
龙华电影,mitv://generationnexxxt.com:19806/1df6f5f0993a46faa17f676518654709 
龙华电影,mitv://135.148.104.228:19806/1df6f5f0993a46faa17f676518654709 
龙华电影,mitv://135.148.104.228:19806/1df6f5f0993a46faa17f676518654709 
靖天映画,mitv://generationnexxxt.com:19806/b723859f3ed94e5ba712148b209eefd0 
靖天映画,mitv://135.148.104.228:19806/b723859f3ed94e5ba712148b209eefd0 
靖天映画,mitv://135.148.104.228:19806/b723859f3ed94e5ba712148b209eefd0 
靖天电影台,mitv://generationnexxxt.com:19806/d8c581e0e1a24823a3d2110e3584ef8b 
靖天电影台,mitv://135.148.104.228:19806/d8c581e0e1a24823a3d2110e3584ef8b 
靖天电影台,mitv://135.148.104.228:19806/d8c581e0e1a24823a3d2110e3584ef8b 
WARNER,mitv://generationnexxxt.com:19806/cd2062a6c5a94d548f3516d96e23deec 
Star,mitv://generationnexxxt.com:19806/cdbfcfca93f846c7bcc30d0fd108923f 
AMC最爱电影,mitv://generationnexxxt.com:19806/24ce0147e36a438eab843a3168cea3bc 
AMC最爱电影,mitv://135.148.104.228:19806/24ce0147e36a438eab843a3168cea3bc 
AMC最爱电影,mitv://135.148.104.228:19806/24ce0147e36a438eab843a3168cea3bc 
CatchPlay电影台,mitv://generationnexxxt.com:19806/2dccaec60f0e418d82d2d0bb09f0c4a8 
CatchPlay电影台,mitv://135.148.104.228:19806/2dccaec60f0e418d82d2d0bb09f0c4a8 
CatchPlay电影台,mitv://135.148.104.228:19806/2dccaec60f0e418d82d2d0bb09f0c4a8 
壹电视电影台,mitv://generationnexxxt.com:19806/1be1329b6d124745a87a16de445d2352 
壹电视电影台,mitv://135.148.104.228:19806/1be1329b6d124745a87a16de445d2352 
壹电视电影台,mitv://135.148.104.228:19806/1be1329b6d124745a87a16de445d2352 
采昌影剧台,mitv://generationnexxxt.com:19806/a0d691053f9b4876ab2b509a62296911 
采昌影剧台,mitv://135.148.104.228:19806/a0d691053f9b4876ab2b509a62296911 
采昌影剧台,mitv://135.148.104.228:19806/a0d691053f9b4876ab2b509a62296911 
影迷数位电影台,mitv://generationnexxxt.com:19806/bc069c037478448a9e41dbc3e1d5d0f6 
影迷数位电影台,mitv://135.148.104.228:19806/bc069c037478448a9e41dbc3e1d5d0f6 
影迷数位电影台,mitv://135.148.104.228:19806/bc069c037478448a9e41dbc3e1d5d0f6 
美亚电影台(粤语),mitv://generationnexxxt.com:19806/ee16565eb5fe46be8d22cbbde1fa9fae 
东森戏剧台,mitv://generationnexxxt.com:19806/4fae332a68a04f3fa77a158ac1fa4bce 
东森戏剧台,mitv://135.148.104.228:19806/4fae332a68a04f3fa77a158ac1fa4bce 
东森戏剧台,mitv://135.148.104.228:19806/4fae332a68a04f3fa77a158ac1fa4bce 
八大戏剧台,mitv://generationnexxxt.com:19806/4eec82bd1e634ceab82b90e395116c83 
八大戏剧台,mitv://135.148.104.228:19806/4eec82bd1e634ceab82b90e395116c83 
八大戏剧台,mitv://135.148.104.228:19806/4eec82bd1e634ceab82b90e395116c83 
纬来戏剧台,mitv://generationnexxxt.com:19806/69036778f8fc40729301e9e88aeee556 
纬来戏剧台,mitv://135.148.104.228:19806/69036778f8fc40729301e9e88aeee556 
纬来戏剧台,mitv://135.148.104.228:19806/69036778f8fc40729301e9e88aeee556 
三立戏剧台,mitv://generationnexxxt.com:19806/7a5b874b630d457bb5997a2fe4690550 
三立戏剧台,mitv://135.148.104.228:19806/7a5b874b630d457bb5997a2fe4690550 
三立戏剧台,mitv://135.148.104.228:19806/7a5b874b630d457bb5997a2fe4690550 
龙华戏剧,mitv://generationnexxxt.com:19806/5d4f0bd2b18b4a588a0ca733569b18dd 
龙华戏剧,mitv://135.148.104.228:19806/5d4f0bd2b18b4a588a0ca733569b18dd 
龙华戏剧,mitv://135.148.104.228:19806/5d4f0bd2b18b4a588a0ca733569b18dd 
靖天戏剧台,mitv://generationnexxxt.com:19806/1282202787324223b35e3c84d9e673c6 
靖天戏剧台,mitv://135.148.104.228:19806/1282202787324223b35e3c84d9e673c6 
靖天戏剧台,mitv://135.148.104.228:19806/1282202787324223b35e3c84d9e673c6 
靖洋戏剧台,mitv://generationnexxxt.com:19806/84a559f1b4884854be933d5d4fc0d4a6 
靖洋戏剧台,mitv://135.148.104.228:19806/84a559f1b4884854be933d5d4fc0d4a6 
靖洋戏剧台,mitv://135.148.104.228:19806/84a559f1b4884854be933d5d4fc0d4a6 
EYE,mitv://generationnexxxt.com:19806/2831986ed4b448c9b626788fbd3f2f89 
爱尔达影剧台,mitv://generationnexxxt.com:19806/932d4522f2294c6a926b7ab8027c269f 
爱尔达影剧台,mitv://135.148.104.228:19806/932d4522f2294c6a926b7ab8027c269f 
爱尔达影剧台,mitv://135.148.104.228:19806/932d4522f2294c6a926b7ab8027c269f 
亚洲剧台,mitv://generationnexxxt.com:19806/ee081a662356489d8b2170952ec91d24 
民视,mitv://135.148.104.228:19806/7b046996e7d5417eb4a619194072bbc0 
民视,mitv://135.148.104.228:19806/7b046996e7d5417eb4a619194072bbc0 
台视,mitv://135.148.104.228:19806/9868c18e3c0940cd8aa003d9ae54f862 
台视,mitv://135.148.104.228:19806/9868c18e3c0940cd8aa003d9ae54f862 
大爱1台,mitv://135.148.104.228:19806/e89ec8c592484d88bc001e8d8a6c9e31 
大爱1台,mitv://135.148.104.228:19806/e89ec8c592484d88bc001e8d8a6c9e31 
中视,mitv://135.148.104.228:19806/27826c4ed7234c0d8759bc7fe6786a18 
中视,mitv://135.148.104.228:19806/27826c4ed7234c0d8759bc7fe6786a18 
霹雳台湾台,mitv://135.148.104.228:19806/dcdf778fe9ca4184ad6af3a911765cf0 
霹雳台湾台,mitv://135.148.104.228:19806/dcdf778fe9ca4184ad6af3a911765cf0 
华视,mitv://135.148.104.228:19806/761bc3c0662247d18b0db4da8070b7f4 
华视,mitv://135.148.104.228:19806/761bc3c0662247d18b0db4da8070b7f4 
公视,mitv://135.148.104.228:19806/5bc9388122b840f1abd2ff73c85049a6 
公视,mitv://135.148.104.228:19806/5bc9388122b840f1abd2ff73c85049a6 
好消息,mitv://135.148.104.228:19806/febf2282369d409d92d68514b72fc433 
好消息,mitv://135.148.104.228:19806/febf2282369d409d92d68514b72fc433 
原住民,mitv://135.148.104.228:19806/cb5b7549e3604100a605ca17c82808f5 
原住民,mitv://135.148.104.228:19806/cb5b7549e3604100a605ca17c82808f5 
客家电视台,mitv://135.148.104.228:19806/eafabb6e7c30439b8ecd35ad40a46a96 
客家电视台,mitv://135.148.104.228:19806/eafabb6e7c30439b8ecd35ad40a46a96 
国家地理,mitv://135.148.104.228:19806/37a44d0af7634364a91f2fb8d9b9cf9b 
国家地理,mitv://135.148.104.228:19806/37a44d0af7634364a91f2fb8d9b9cf9b 
探索频道,mitv://135.148.104.228:19806/9f2e92df32b34a569ad7e6818f4732fb 
探索频道,mitv://135.148.104.228:19806/9f2e92df32b34a569ad7e6818f4732fb 
动物星球,mitv://135.148.104.228:19806/5b41e724ea8e4e7eb92e3dac95589165 
动物星球,mitv://135.148.104.228:19806/5b41e724ea8e4e7eb92e3dac95589165 
纬来综合台,mitv://135.148.104.228:19806/d40310ae8bba42569d3d90b4cf7d9928 
纬来综合台,mitv://135.148.104.228:19806/d40310ae8bba42569d3d90b4cf7d9928 
八大第一台,mitv://135.148.104.228:19806/270abff66f5e496fb9c100a0dbca3fe6 
八大第一台,mitv://135.148.104.228:19806/270abff66f5e496fb9c100a0dbca3fe6 
八大综合台,mitv://135.148.104.228:19806/6c18a737c1394e59ae5072935d630f40 
八大综合台,mitv://135.148.104.228:19806/6c18a737c1394e59ae5072935d630f40 
三立台湾台,mitv://135.148.104.228:19806/ff12e8f29f9b4f61a9b766709aa498f6 
三立台湾台,mitv://135.148.104.228:19806/ff12e8f29f9b4f61a9b766709aa498f6 
三立都会台,mitv://135.148.104.228:19806/7a36f98eee8e48a48ea64a1359083c8a 
三立都会台,mitv://135.148.104.228:19806/7a36f98eee8e48a48ea64a1359083c8a 
东森综合台,mitv://135.148.104.228:19806/a05a4d8b51f54013925315261a2c6aa9 
东森综合台,mitv://135.148.104.228:19806/a05a4d8b51f54013925315261a2c6aa9 
东森超视台,mitv://135.148.104.228:19806/5121f16c4b634c1683e9444aa68494b6 
东森超视台,mitv://135.148.104.228:19806/5121f16c4b634c1683e9444aa68494b6 
中天综合台,mitv://135.148.104.228:19806/d6433dcd1a2a4aacb1c63a81ae8f11e6 
中天综合台,mitv://135.148.104.228:19806/d6433dcd1a2a4aacb1c63a81ae8f11e6 
中天娱乐台,mitv://135.148.104.228:19806/6932151dd5a74b759a053f78a719fbf3 
中天娱乐台,mitv://135.148.104.228:19806/6932151dd5a74b759a053f78a719fbf3 
TVBS欢乐台,mitv://135.148.104.228:19806/569aec3edbbc4267bd6f829b3d495d5a 
TVBS欢乐台,mitv://135.148.104.228:19806/569aec3edbbc4267bd6f829b3d495d5a 
高点综合台,mitv://135.148.104.228:19806/462775e2153243fc92adec0793c638d0 
高点综合台,mitv://135.148.104.228:19806/462775e2153243fc92adec0793c638d0 
壹电视新闻台,mitv://135.148.104.228:19806/31dad83ef5b74c5db225482cd2e0fbae 
壹电视新闻台,mitv://135.148.104.228:19806/31dad83ef5b74c5db225482cd2e0fbae 
年代新闻,mitv://135.148.104.228:19806/95f67e884d88463e907c301d05fa68b7 
年代新闻,mitv://135.148.104.228:19806/95f67e884d88463e907c301d05fa68b7 
东森新闻台,mitv://135.148.104.228:19806/e1a899eded4d48578084c61957fb8c2b 
东森新闻台,mitv://135.148.104.228:19806/e1a899eded4d48578084c61957fb8c2b 
中天新闻台,mitv://135.148.104.228:19806/bd9064ee198045a386f1f2dba5073f4e 
中天新闻台,mitv://135.148.104.228:19806/bd9064ee198045a386f1f2dba5073f4e 
民视新闻台,mitv://135.148.104.228:19806/d24f18e610d248b7a450d29492b37ebf 
民视新闻台,mitv://135.148.104.228:19806/d24f18e610d248b7a450d29492b37ebf 
三立新闻台,mitv://135.148.104.228:19806/9388262af2604cc798800736d070d39e 
三立新闻台,mitv://135.148.104.228:19806/9388262af2604cc798800736d070d39e 
TVBS新闻台,mitv://135.148.104.228:19806/6a155a5d7bea461b980b4fa559119a60 
TVBS新闻台,mitv://135.148.104.228:19806/6a155a5d7bea461b980b4fa559119a60 
TVBS,mitv://135.148.104.228:19806/9fb651a7ec2e402588a0752ba1035476 
TVBS,mitv://135.148.104.228:19806/9fb651a7ec2e402588a0752ba1035476 
东森财经新闻台,mitv://135.148.104.228:19806/9193e5efd94f4991ba8bfbc98bdc3f19 
东森财经新闻台,mitv://135.148.104.228:19806/9193e5efd94f4991ba8bfbc98bdc3f19 
非凡新闻台,mitv://135.148.104.228:19806/02f80f7aad2c480992e06e1bd8a7facb 
非凡新闻台,mitv://135.148.104.228:19806/02f80f7aad2c480992e06e1bd8a7facb 
纬来体育台,mitv://135.148.104.228:19806/79090c69d43040148deaa21d5e26c32a 
纬来体育台,mitv://135.148.104.228:19806/79090c69d43040148deaa21d5e26c32a 
ELEVEN体育1台,mitv://135.148.104.228:19806/fcfde35352d5464f9ed1c711ef2d05b1 
ELEVEN体育1台,mitv://135.148.104.228:19806/fcfde35352d5464f9ed1c711ef2d05b1 
JET综合台,mitv://135.148.104.228:19806/cbd0c62dcb2a45cfa04f672fb2c49d14 
JET综合台,mitv://135.148.104.228:19806/cbd0c62dcb2a45cfa04f672fb2c49d14 
国兴卫视,mitv://135.148.104.228:19806/18aaee00d2af442ebb4592e15f7b2a20 
国兴卫视,mitv://135.148.104.228:19806/18aaee00d2af442ebb4592e15f7b2a20 
尼克儿童频道,mitv://135.148.104.228:19806/879f28be19bc47df84ad3d5470be58d0 
尼克儿童频道,mitv://135.148.104.228:19806/879f28be19bc47df84ad3d5470be58d0 
八大娱乐台,mitv://135.148.104.228:19806/cea44ead76804413bd48caf76c5c2749 
八大娱乐台,mitv://135.148.104.228:19806/cea44ead76804413bd48caf76c5c2749 
三立iNEWS,mitv://135.148.104.228:19806/ac384b2c9a4a47c3a538f9116ab7e4d8 
三立iNEWS,mitv://135.148.104.228:19806/ac384b2c9a4a47c3a538f9116ab7e4d8 
龙华偶像,mitv://135.148.104.228:19806/5b720b1e1b404f129e7009363d3035f8 
龙华偶像,mitv://135.148.104.228:19806/5b720b1e1b404f129e7009363d3035f8 
爱尔达体育1台(备),mitv://135.148.104.228:19806/1180278580d04cb490450ec59b4edc6b 
爱尔达体育1台(备),mitv://135.148.104.228:19806/1180278580d04cb490450ec59b4edc6b 
爱尔达体育2台,mitv://135.148.104.228:19806/d1f16ee235314a0fbc33742ab7af534b 
爱尔达体育2台,mitv://135.148.104.228:19806/d1f16ee235314a0fbc33742ab7af534b 
博斯高球,mitv://135.148.104.228:19806/6ff0b79453d2430986930b7c84a286df 
博斯高球,mitv://135.148.104.228:19806/6ff0b79453d2430986930b7c84a286df 
博斯高球二台,mitv://135.148.104.228:19806/8afa52d0fe0047f8a6d7e51f46697f93 
博斯高球二台,mitv://135.148.104.228:19806/8afa52d0fe0047f8a6d7e51f46697f93 
博斯网球台,mitv://135.148.104.228:19806/7fb5b66ce38747de84be865952153959 
博斯网球台,mitv://135.148.104.228:19806/7fb5b66ce38747de84be865952153959 
博斯魅力网,mitv://135.148.104.228:19806/c585ebfbfc7c4260a8d9556b5409faf0 
博斯魅力网,mitv://135.148.104.228:19806/c585ebfbfc7c4260a8d9556b5409faf0 
博斯无限台,mitv://135.148.104.228:19806/f2973cfa7c2045e6b8a184f1bf18af7c 
博斯无限台,mitv://135.148.104.228:19806/f2973cfa7c2045e6b8a184f1bf18af7c 
博斯无限二台,mitv://135.148.104.228:19806/143f1c23ac834d28a5296d61fed9250c 
博斯无限二台,mitv://135.148.104.228:19806/143f1c23ac834d28a5296d61fed9250c 
博斯运动,mitv://135.148.104.228:19806/6293839c167e4b6393c745db434b2465 
博斯运动,mitv://135.148.104.228:19806/6293839c167e4b6393c745db434b2465 
ELEVEN体育2台,mitv://135.148.104.228:19806/057061c0da744aa7b035169dba5ebe2a 
ELEVEN体育2台,mitv://135.148.104.228:19806/057061c0da744aa7b035169dba5ebe2a 
智林体育台,mitv://135.148.104.228:19806/931c171e2f774f7aa1a92e97f5098c9f 
智林体育台,mitv://135.148.104.228:19806/931c171e2f774f7aa1a92e97f5098c9f 
博斯运动二台,mitv://135.148.104.228:19806/cbd52c51fbab49ae9b3bc0da9137f681 
博斯运动二台,mitv://135.148.104.228:19806/cbd52c51fbab49ae9b3bc0da9137f681 
Discovery科学频道,mitv://135.148.104.228:19806/39e1494bd82c449892c6f92a6c8dc213 
Discovery科学频道,mitv://135.148.104.228:19806/39e1494bd82c449892c6f92a6c8dc213 
历史频道,mitv://135.148.104.228:19806/e6f506b509c94bacb4a371cdbcbe7719 
历史频道,mitv://135.148.104.228:19806/e6f506b509c94bacb4a371cdbcbe7719 
罪案侦缉频道,mitv://135.148.104.228:19806/ef7b4ee3be374092a4a0074a6be41e03 
罪案侦缉频道,mitv://135.148.104.228:19806/ef7b4ee3be374092a4a0074a6be41e03 
三立综合台,mitv://135.148.104.228:19806/792a7263dd7b4c7484512d07f3c21083 
三立综合台,mitv://135.148.104.228:19806/792a7263dd7b4c7484512d07f3c21083 
靖天资讯台,mitv://135.148.104.228:19806/5c9d432112fd4d4e92263a34415293fa 
靖天资讯台,mitv://135.148.104.228:19806/5c9d432112fd4d4e92263a34415293fa 
靖天综合台,mitv://135.148.104.228:19806/ed2e3f294dcc40c1b72aba372fbed64d 
靖天综合台,mitv://135.148.104.228:19806/ed2e3f294dcc40c1b72aba372fbed64d 
靖天育乐台,mitv://135.148.104.228:19806/d67fd6c2e7c44e17b9e86d9073f2930e 
靖天育乐台,mitv://135.148.104.228:19806/d67fd6c2e7c44e17b9e86d9073f2930e 
中视经典台,mitv://135.148.104.228:19806/8b9e15ff15474ccbbc2780c1484e50c9 
中视经典台,mitv://135.148.104.228:19806/8b9e15ff15474ccbbc2780c1484e50c9 
中视菁采台,mitv://135.148.104.228:19806/ae5e01a7bc294327b88f65aa5d38217c 
中视菁采台,mitv://135.148.104.228:19806/ae5e01a7bc294327b88f65aa5d38217c 
TVBS精采台,mitv://135.148.104.228:19806/2089afbec2474359add275658522922f 
TVBS精采台,mitv://135.148.104.228:19806/2089afbec2474359add275658522922f 
壹电视综合,mitv://135.148.104.228:19806/617d6cf150574cb485ee07aea57262fd 
壹电视综合,mitv://135.148.104.228:19806/617d6cf150574cb485ee07aea57262fd 
纬来精采,mitv://135.148.104.228:19806/1db14fe8aad841b4b28eca2b136e7206 
纬来精采,mitv://135.148.104.228:19806/1db14fe8aad841b4b28eca2b136e7206 
ETtoday综合台,mitv://135.148.104.228:19806/8e1b32241c9d4d079a2df7dc99adb312 
ETtoday综合台,mitv://135.148.104.228:19806/8e1b32241c9d4d079a2df7dc99adb312 
民视第一台,mitv://135.148.104.228:19806/b97979cec8d74feebc370f3470cc06c6 
民视第一台,mitv://135.148.104.228:19806/b97979cec8d74feebc370f3470cc06c6 
民视台湾台,mitv://135.148.104.228:19806/192bd12842624eb39e2f6b86eeacdca8 
民视台湾台,mitv://135.148.104.228:19806/192bd12842624eb39e2f6b86eeacdca8 
NiceTV靖天欢乐台,mitv://135.148.104.228:19806/439163cf3469473b8ffd582b687991be 
NiceTV靖天欢乐台,mitv://135.148.104.228:19806/439163cf3469473b8ffd582b687991be 
八大优频道,mitv://135.148.104.228:19806/7abaa68442ce4ed7ad7c9772fb46eda9 
八大优频道,mitv://135.148.104.228:19806/7abaa68442ce4ed7ad7c9772fb46eda9 
靖天日本台,mitv://135.148.104.228:19806/c88dcc9ddf6747b991fc1a0db939147d 
靖天日本台,mitv://135.148.104.228:19806/c88dcc9ddf6747b991fc1a0db939147d 
中视新闻台,mitv://135.148.104.228:19806/cb5965a89e434df7aeb66b2364116ae4 
中视新闻台,mitv://135.148.104.228:19806/cb5965a89e434df7aeb66b2364116ae4 
寰宇新闻台,mitv://135.148.104.228:19806/a265fb55774a4554bc2db19b16f53be6 
寰宇新闻台,mitv://135.148.104.228:19806/a265fb55774a4554bc2db19b16f53be6 
华视新闻,mitv://135.148.104.228:19806/ebe8db2daafa47768f37bcae17bfe299 
华视新闻,mitv://135.148.104.228:19806/ebe8db2daafa47768f37bcae17bfe299 
NHK新闻资讯台,mitv://135.148.104.228:19806/c2da55d84a72418c8f1876c25ec97a1d 
NHK新闻资讯台,mitv://135.148.104.228:19806/c2da55d84a72418c8f1876c25ec97a1d 
HBOFamily,mitv://135.148.104.228:19806/8a0208ebdfa04b5eab112f0c8b01719c 
HBOFamily,mitv://135.148.104.228:19806/8a0208ebdfa04b5eab112f0c8b01719c 
CinemaWorld,mitv://135.148.104.228:19806/e262f40881b2461f9a270b4d9d0b54c3 
CinemaWorld,mitv://135.148.104.228:19806/e262f40881b2461f9a270b4d9d0b54c3 
佛卫慈悲台,mitv://135.148.104.228:19806/be70c8b5b35c4551b5c7d3c905234e69 
佛卫慈悲台,mitv://135.148.104.228:19806/be70c8b5b35c4551b5c7d3c905234e69 
EYETV戏剧台,mitv://135.148.104.228:19806/2831986ed4b448c9b626788fbd3f2f89 
EYETV戏剧台,mitv://135.148.104.228:19806/2831986ed4b448c9b626788fbd3f2f89 
台视新闻台,mitv://135.148.104.228:19806/9817b59742464113bd5656fcc7dced84 
台视新闻台,mitv://135.148.104.228:19806/9817b59742464113bd5656fcc7dced84 
寰宇新闻台湾台,mitv://135.148.104.228:19806/ca27b65855704124be186aa0e5127c24 
寰宇新闻台湾台,mitv://135.148.104.228:19806/ca27b65855704124be186aa0e5127c24 
台视财经台,mitv://135.148.104.228:19806/e01d7738e33e456a812f7cefbf27b29a 
台视财经台,mitv://135.148.104.228:19806/e01d7738e33e456a812f7cefbf27b29a 
纬来日本,mitv://135.148.104.228:19806/5f9d37ba1fc04a04aaec6979908294a2 
纬来日本,mitv://135.148.104.228:19806/5f9d37ba1fc04a04aaec6979908294a2 
民视(备),mitv://135.148.104.228:19806/8d864649cfc54b518b3d137d67583155 
民视(备),mitv://135.148.104.228:19806/8d864649cfc54b518b3d137d67583155 
三立台湾台(备),mitv://135.148.104.228:19806/7554a57ea53f4c10ae4e219ac2d374c4 
三立台湾台(备),mitv://135.148.104.228:19806/7554a57ea53f4c10ae4e219ac2d374c4 
卫视中文台,mitv://135.148.104.228:19806/7f7bdcb1fb94430daa8ba120dcbfde4e 
卫视中文台,mitv://135.148.104.228:19806/7f7bdcb1fb94430daa8ba120dcbfde4e 
爱尔达体育1台,mitv://135.148.104.228:19806/68e521d35c0247ddbc5073dee98245a3 
爱尔达体育1台,mitv://135.148.104.228:19806/68e521d35c0247ddbc5073dee98245a3 
爱尔达体育3台,mitv://135.148.104.228:19806/3ebc6b89559c44dca30c4c259a5646b9 
爱尔达体育3台,mitv://135.148.104.228:19806/3ebc6b89559c44dca30c4c259a5646b9 
台视(备),mitv://135.148.104.228:19806/3c20d4387ec845149b2ded5f28805f18 
台视(备),mitv://135.148.104.228:19806/3c20d4387ec845149b2ded5f28805f18 
爱尔达体育4台,mitv://135.148.104.228:19806/df4f198dbe6347e1a084c79d208f227d 
爱尔达体育4台,mitv://135.148.104.228:19806/df4f198dbe6347e1a084c79d208f227d 
中视(备),mitv://135.148.104.228:19806/c4ede9c3d1a84d0b9afe57622abcb9e7 
中视(备),mitv://135.148.104.228:19806/c4ede9c3d1a84d0b9afe57622abcb9e7 
华视(备),mitv://135.148.104.228:19806/177390ae66634acca9be01242a769660 
华视(备),mitv://135.148.104.228:19806/177390ae66634acca9be01242a769660 
东森新闻台(备),mitv://135.148.104.228:19806/35983e2efd5c44bf84bfb2977bbbc96d 
东森新闻台(备),mitv://135.148.104.228:19806/35983e2efd5c44bf84bfb2977bbbc96d 
镜新闻,mitv://135.148.104.228:19806/668a0abb880a496d8f57fad2f580566b 
镜新闻,mitv://135.148.104.228:19806/668a0abb880a496d8f57fad2f580566b 
MTV,mitv://135.148.104.228:19806/eb5ba5262e2e4779a1418c78d14ad1e5 
MTV,mitv://135.148.104.228:19806/eb5ba5262e2e4779a1418c78d14ad1e5 90:1354/bfgd.php?id=296

